nro_ticket,fecha,codigo_empleado,codigo_escuela
0,2024-06-25,24,2
1,2025-02-05,5,3
2,2025-03-07,35,5
3,2024-12-17,40,4
4,2024-06-15,49,4
5,2024-07-18,8,1
6,2025-03-17,50,2
7,2025-05-21,38,2
8,2024-10-10,14,5
9,2024-06-09,25,1
10,2024-06-21,9,2
11,2025-02-10,22,4
12,2024-08-15,46,1
13,2025-03-04,16,2
14,2025-02-20,44,3
15,2024-07-23,43,5
16,2024-09-04,25,2
17,2025-01-13,4,2
18,2025-05-04,50,4
19,2024-06-27,37,2
20,2025-01-10,33,2
21,2025-03-07,34,2
22,2025-05-31,25,5
23,2024-08-07,49,3
24,2025-03-29,28,3
25,2024-11-24,41,2
26,2025-02-05,42,4
27,2025-02-12,7,5
28,2024-12-14,34,4
29,2024-10-21,28,3
30,2025-03-27,4,3
31,2025-02-18,6,2
32,2024-07-04,26,1
33,2024-11-02,18,5
34,2024-06-25,34,5
35,2025-04-04,2,3
36,2025-05-15,37,1
37,2024-12-28,32,2
38,2024-11-17,29,3
39,2024-08-12,32,2
40,2025-01-11,37,4
41,2025-01-17,41,5
42,2024-08-10,38,5
43,2025-02-03,35,3
44,2024-12-15,30,4
45,2024-07-10,18,3
46,2025-01-04,3,5
47,2025-01-23,8,3
48,2025-03-02,38,5
49,2024-07-12,33,1
50,2024-07-30,30,3
51,2025-03-16,40,1
52,2025-02-06,38,3
53,2025-02-27,25,1
54,2025-05-14,16,4
55,2025-04-21,37,3
56,2024-11-19,19,3
57,2024-07-25,21,5
58,2024-10-04,38,5
59,2024-08-26,22,4
60,2025-03-12,13,4
61,2024-08-11,46,5
62,2025-01-03,41,4
63,2024-08-20,39,1
64,2024-10-15,24,4
65,2025-04-26,28,4
66,2024-09-29,18,4
67,2025-03-09,44,2
68,2025-03-11,30,2
69,2025-05-28,30,5
70,2025-03-21,8,3
71,2024-06-21,20,2
72,2025-02-17,43,5
73,2025-05-05,19,3
74,2024-09-15,6,4
75,2025-05-08,23,1
76,2024-12-22,48,2
77,2025-04-03,35,5
78,2025-05-11,45,5
79,2024-10-13,19,5
80,2025-04-15,6,2
81,2024-11-01,36,2
82,2024-11-08,4,4
83,2024-07-16,21,3
84,2025-03-04,2,1
85,2024-06-27,39,3
86,2024-10-29,22,3
87,2024-08-29,13,3
88,2024-12-27,2,1
89,2025-02-20,35,5
90,2025-02-10,12,2
91,2025-02-27,14,3
92,2024-11-14,32,2
93,2025-01-06,33,1
94,2024-10-17,5,2
95,2025-04-30,3,3
96,2024-11-21,19,1
97,2024-07-11,9,3
98,2025-06-01,33,5
99,2024-10-23,28,1
